route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
490,0000000622017091120180607,0002870312017091120180607,Corso Rosmini Posta,0,D378_R5220_Ritorno_sub1,2
490,0000000622017091120180607,0002870322017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1037_F5213a_Andata_sub2,2
490,0000000622017091120180607,0002870332017091120180607,Corso Rosmini Posta,0,D378_R5220_Ritorno_sub1,2
490,0000000622017091120180607,0002870342017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1035_F5211a_Andata_sub1,2
490,0000000622017091120180607,0002870352017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1037_F5213a_Andata_sub2,2
490,0000000622017091120180607,0002870362017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1035_F5211a_Andata_sub1,2
490,0000000622017091120180607,0002870372017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1037_F5213a_Andata_sub2,2
490,0000000622017091120180607,0002870382017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1035_F5211a_Andata_sub1,2
490,0000000622017091120180607,0002870392017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1037_F5213a_Andata_sub2,2
490,0000000622017091120180607,0002870402017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1035_F5211a_Andata_sub1,2
490,0000000622017091120180607,0002870412017091120180607,Costa Capolinea,1,D285_F5210a_Ritorno_sub1,2
490,0000000622017091120180607,0002870422017091120180607,Costa Capolinea,1,D285_F5210a_Ritorno_sub1,2
490,0000000622017091120180607,0002870432017091120180607,Costa Capolinea,1,D1089_R5218a_Ritorno_sub2,2
