id,latitude,longitude,name,type,osm_id
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd31e8,46.160981,11.301997,PANETTIERE,alimentari,7624789903
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2f14,46.149296,11.267879,Dalsant Giuseppina & C. Sas,alimentari,24766347
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3b96,46.168062,11.298557,"AZIENDA AGRICOLA ""LE MANDRE""",prodottitipici,603895805
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3b90,46.168085,11.156958,Famiglia coop. Giovo ,alimentari,8900599275
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd364a,46.186375,11.257622,DR. COSIMO DI GERONIMO (SEGONZANO),dentista,74772728
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d5e,46.130161,11.244665,Casagrande Paolo,casalinghi,258446708
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b36,46.145035,11.219358,POSTA DI LONA-LASES,posta,126261128
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd390e,46.181111,11.263333,Sentiero di Segonzano,attrazionenaturale,1262852373
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3d10,46.088678,11.181939,INTERNET POINT DI CIVEZZANO,wifi,893391491
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3920,46.149305,11.275168,Bar Spiaggia,bar,1187919807
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2fc4,46.14042,11.25674,AL LIDO,pizzeria,259536186
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd354c,46.2086,11.2691,FASSAN ERMANNO,appartamentovacanze,123631727
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d70,46.134444,11.249167,Giro dei Laghi,attrazionenaturale,10857941804
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b30,46.187452,11.258517,POSTA DI SEGONZANO,posta,2503395889
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd39c8,46.088567,11.181979,SALONE TEX (CIVEZZANO),parrucchiera,86967971
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd309c,46.137857,11.256437,Lago di Serraia,attrazionenaturale,10861840320
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d64,46.145197,11.192308,CASSA RURALE LAVIS - VALLE DI CEMBRA,banca,1183435146
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3650,46.17486,11.220766,"DR. CRISTIANO TOMASI, DR. PAOLO GHENSI e DR. GIACOMO VAROTTO (CEMBRA)",dentista,42178042
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3b7e,46.175217,11.131275,"AZIENDA AGRICOLA BIOLOGICA ""MOLINO DEI LESSI""",prodottitipici,1091022266
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd39d4,46.17018,11.246887,Salone Sonia,parrucchiera,74772709
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3559,46.155924,11.153461,Merceria Clementini,serviziperl'abbigliamento-accessori,23125354
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b1e,46.1485925,11.2607198,GIOVANNINI WALTER,appartamentovacanze,605434744
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3926,46.141667,11.218056,Itinerario Lago di Lases - Lago di Santa Colomba,attrazionenaturale,167521032
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2fbc,46.1776,11.1674,HOTEL FIOR DI BOSCO,hotel,1154520450
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3656,46.1293,11.2446,ALBERGO RISTORANTE LA SCARDOLA,hotel,24764904
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3552,46.160278,11.294722,MATTIVI FERNANDO,appartamentovacanze,1205979358
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd39bc,46.161611,11.303319,FARMACIA DR. MORELLI (BEDOLLO),farmacia,122919173
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd391a,46.134713,11.249222,Bar Serraia,bar,24794532
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd31e0,46.169799,11.302225,"Bar, tavola calda BAITA ALPINA",bar,459250557
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3824,46.1341,11.2438,VILLA COSTALTA,appartamentovacanze,24811047
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3d0a,46.12611,11.243452,CENTRO DELLA SALUTE E BELLEZZA,centrowellness,24811049
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd319f,46.1583,11.283,ANDREATTA CLAUDIA,appartamentovacanze,173057146
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd31f9,46.1272,11.2466,OSTERIA DEL MAESTRO - Ristorante Albergo Lagorai,ristorante,261569633
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d6a,46.156399,11.153215,CASSA RURALE DI GIOVO,banca,2468231577
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3d04,46.117023,11.205888,INTERNET POINT DI FORNACE,wifi,1127560594
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b24,46.12445,11.1798,LAGO SANTA COLOMBA,ristorante,54175290
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2f29,46.133813,11.248421,BRESSANINI IDA (BASELGA DI PINE'),negozio,832929590
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2fb0,46.1272,11.2466,Hotel Lagorai,bar,261569633
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd39aa,46.175546,11.221989,SALONE TOTALOOK TONDINA (CEMBRA),parrucchiera,11641300380
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2fb6,46.132854,11.245256,ARTE E MAGIA DI BATTISTI CRISTINA (BASELGA DI PINE'),negozio,293233391
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd39b6,46.134456,11.248913,SALONE UNISEX (BASELGA DI PINE'),parrucchiera,832929590
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d82,46.221571,11.316088,Nones Carla,alimentari,762510333
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd308a,46.11178,11.172595,B&B LOREDANA,bedbreakfast,255804057
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2f22,46.134497,11.248991,Broseghini Caterina,tabacchino,832929590
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2f0c,46.098624,11.235974,CA' DEI BOCI - Ristorante Romantik Hotel Posta 1899,ristorante,227692436
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd3198,46.083337,11.199099,IL DINOSAURO,abbigliamento,9201653
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d76,46.181775,11.237608,CASSA RURALE LAVIS - VALLE DI CEMBRA,banca,253348828
